Viral Fever,Take proper rest,Drink plenty of fluids,Take paracetamol,Consult a doctor if fever persists
Common Cold,Stay warm,Drink warm fluids,Use steam inhalation,Take rest
Gastroenteritis,Drink ORS,Maintain hygiene,Avoid oily food,Consult doctor if severe
Arthritis,Do light exercise,Apply warm compress,Avoid strain,Consult specialist
Respiratory Infection,Rest well,Drink warm fluids,Avoid cold exposure,Seek medical advice
General Weakness,Eat balanced diet,Get proper sleep,Stay hydrated,Exercise regularly
Heart Condition,Seek emergency care,Avoid exertion,Take prescribed medicines,Consult cardiologist
Flu,Rest well,Drink fluids,Avoid public contact,Consult doctor if severe
Food Poisoning,Drink ORS,Avoid solid food initially,Maintain hygiene,Consult doctor if vomiting continues
Allergy,Avoid allergens,Use antihistamines,Keep surroundings clean,Consult doctor
